"DATE","TIME PERIOD","(STS.M.I9.N.AGRI.XMEAT0.3.000)"
"1991-01-31","1991Jan","50.03"
"1991-02-28","1991Feb","52.66"
"1991-03-31","1991Mar","53.82"
"1991-04-30","1991Apr","53.97"
"1991-05-31","1991May","54.81"
"1991-06-30","1991Jun","55.42"
"1991-07-31","1991Jul","54.23"
"1991-08-31","1991Aug","54.26"
"1991-09-30","1991Sep","54.91"
"1991-10-31","1991Oct","53.28"
"1991-11-30","1991Nov","53.79"
"1991-12-31","1991Dec","54.65"
"1992-01-31","1992Jan","56.15"
"1992-02-29","1992Feb","57.77"
"1992-03-31","1992Mar","58.15"
"1992-04-30","1992Apr","57.26"
"1992-05-31","1992May","57.14"
"1992-06-30","1992Jun","56.91"
"1992-07-31","1992Jul","55.59"
"1992-08-31","1992Aug","53.35"
"1992-09-30","1992Sep","51.22"
"1992-10-31","1992Oct","48.69"
"1992-11-30","1992Nov","48.18"
"1992-12-31","1992Dec","45.91"
"1993-01-31","1993Jan","47.06"
"1993-02-28","1993Feb","47.86"
"1993-03-31","1993Mar","47.72"
"1993-04-30","1993Apr","46.18"
"1993-05-31","1993May","46.05"
"1993-06-30","1993Jun","45.29"
"1993-07-31","1993Jul","45.16"
"1993-08-31","1993Aug","43.78"
"1993-09-30","1993Sep","42.77"
"1993-10-31","1993Oct","41.20"
"1993-11-30","1993Nov","42.50"
"1993-12-31","1993Dec","44.62"
"1994-01-31","1994Jan","44.00"
"1994-02-28","1994Feb","45.01"
"1994-03-31","1994Mar","45.64"
"1994-04-30","1994Apr","45.46"
"1994-05-31","1994May","47.38"
"1994-06-30","1994Jun","47.52"
"1994-07-31","1994Jul","45.85"
"1994-08-31","1994Aug","45.69"
"1994-09-30","1994Sep","46.31"
"1994-10-31","1994Oct","45.71"
"1994-11-30","1994Nov","44.98"
"1994-12-31","1994Dec","44.82"
"1995-01-31","1995Jan","46.52"
"1995-02-28","1995Feb","58.78"
"1995-03-31","1995Mar","58.25"
"1995-04-30","1995Apr","56.47"
"1995-05-31","1995May","55.22"
"1995-06-30","1995Jun","55.80"
"1995-07-31","1995Jul","56.21"
"1995-08-31","1995Aug","58.59"
"1995-09-30","1995Sep","58.93"
"1995-10-31","1995Oct","57.35"
"1995-11-30","1995Nov","57.02"
"1995-12-31","1995Dec","56.69"
"1996-01-31","1996Jan","57.34"
"1996-02-29","1996Feb","59.75"
"1996-03-31","1996Mar","60.04"
"1996-04-30","1996Apr","64.50"
"1996-05-31","1996May","67.92"
"1996-06-30","1996Jun","69.46"
"1996-07-31","1996Jul","70.17"
"1996-08-31","1996Aug","70.59"
"1996-09-30","1996Sep","69.22"
"1996-10-31","1996Oct","65.62"
"1996-11-30","1996Nov","61.26"
"1996-12-31","1996Dec","61.12"
"1997-01-31","1997Jan","62.63"
"1997-02-28","1997Feb","63.50"
"1997-03-31","1997Mar","64.18"
"1997-04-30","1997Apr","66.70"
"1997-05-31","1997May","72.28"
"1997-06-30","1997Jun","68.31"
"1997-07-31","1997Jul","65.43"
"1997-08-31","1997Aug","66.64"
"1997-09-30","1997Sep","66.55"
"1997-10-31","1997Oct","64.03"
"1997-11-30","1997Nov","64.07"
"1997-12-31","1997Dec","63.84"
"1998-01-31","1998Jan","65.17"
"1998-02-28","1998Feb","68.68"
"1998-03-31","1998Mar","68.14"
"1998-04-30","1998Apr","65.16"
"1998-05-31","1998May","61.72"
"1998-06-30","1998Jun","60.42"
"1998-07-31","1998Jul","58.07"
"1998-08-31","1998Aug","57.46"
"1998-09-30","1998Sep","53.81"
"1998-10-31","1998Oct","50.82"
"1998-11-30","1998Nov","48.49"
"1998-12-31","1998Dec","54.74"
"1999-01-31","1999Jan","52.60"
"1999-02-28","1999Feb","54.77"
"1999-03-31","1999Mar","56.22"
"1999-04-30","1999Apr","55.69"
"1999-05-31","1999May","55.17"
"1999-06-30","1999Jun","60.89"
"1999-07-31","1999Jul","60.95"
"1999-08-31","1999Aug","62.42"
"1999-09-30","1999Sep","60.36"
"1999-10-31","1999Oct","58.06"
"1999-11-30","1999Nov","58.07"
"1999-12-31","1999Dec","58.37"
"2000-01-31","2000Jan","59.65"
"2000-02-29","2000Feb","62.90"
"2000-03-31","2000Mar","64.44"
"2000-04-30","2000Apr","64.75"
"2000-05-31","2000May","64.81"
"2000-06-30","2000Jun","64.40"
"2000-07-31","2000Jul","64.61"
"2000-08-31","2000Aug","65.49"
"2000-09-30","2000Sep","65.87"
"2000-10-31","2000Oct","66.04"
"2000-11-30","2000Nov","65.37"
"2000-12-31","2000Dec","65.69"
"2001-01-31","2001Jan","67.18"
"2001-02-28","2001Feb","67.49"
"2001-03-31","2001Mar","68.68"
"2001-04-30","2001Apr","69.62"
"2001-05-31","2001May","70.22"
"2001-06-30","2001Jun","68.67"
"2001-07-31","2001Jul","68.19"
"2001-08-31","2001Aug","69.53"
"2001-09-30","2001Sep","67.48"
"2001-10-31","2001Oct","64.41"
"2001-11-30","2001Nov","64.81"
"2001-12-31","2001Dec","64.43"
"2002-01-31","2002Jan","65.29"
"2002-02-28","2002Feb","66.05"
"2002-03-31","2002Mar","67.95"
"2002-04-30","2002Apr","66.65"
"2002-05-31","2002May","65.53"
"2002-06-30","2002Jun","63.88"
"2002-07-31","2002Jul","65.13"
"2002-08-31","2002Aug","65.39"
"2002-09-30","2002Sep","66.27"
"2002-10-31","2002Oct","65.39"
"2002-11-30","2002Nov","64.22"
"2002-12-31","2002Dec","64.00"
"2003-01-31","2003Jan","66.23"
"2003-02-28","2003Feb","67.35"
"2003-03-31","2003Mar","67.74"
"2003-04-30","2003Apr","67.16"
"2003-05-31","2003May","68.19"
"2003-06-30","2003Jun","67.76"
