Date,SPT_start,SPT_end
2019-09-25 10:49:31,2019-09-25 22:27:24,2019-09-26 03:40:01
2019-09-26 10:58:00,2019-09-26 16:49:57,2019-09-26 20:40:30
2019-09-27 11:24:50,2019-09-27 18:08:25,2019-09-27 22:30:24
2019-09-28 10:36:45,2019-09-28 16:50:35,2019-09-28 23:00:21
2019-09-30 00:07:30,2019-09-30 04:16:16,2019-09-30 05:19:18
2019-09-30 10:40:15,2019-09-30 11:27:11,2019-09-30 14:42:10
2019-10-01 12:07:43,2019-10-01 21:11:35,2019-10-02 00:57:51
2019-10-02 12:53:28,2019-10-02 20:49:11,2019-10-03 06:43:19
2019-10-03 12:01:11,2019-10-04 04:19:14,2019-10-04 09:22:36
2019-10-04 10:30:31,2019-10-04 21:11:44,2019-10-05 03:56:58
2019-10-05 11:12:40,2019-10-05 21:29:13,2019-10-06 00:57:03
2019-10-06 11:16:05,2019-10-07 05:23:22,2019-10-07 09:33:29
